,RouteID,SpeedLimit,StartingPoint,ArrivalPoint,ModeOfTransport,TimeSpent,Facility,Length
27755,27755.0,1.0,141.0,142.0,4.0,70.0,,0.0001844319254591791
27756,27756.0,1.0,143.0,144.0,4.0,71.0,,0.00019998545564697142
27757,27757.0,1.0,145.0,146.0,4.0,72.0,,0.0003976727984601945
27758,27758.0,1.0,147.0,148.0,4.0,73.0,,0.011303639009274056
27759,27759.0,1.0,149.0,150.0,4.0,74.0,,0.00010852459561678704
27760,27760.0,1.0,151.0,152.0,4.0,75.0,,0.017758542985036686
27761,27761.0,1.0,153.0,154.0,4.0,76.0,,6.352552288844348e-05
27762,27762.0,1.0,155.0,156.0,4.0,77.0,,0.017513953415297014
27763,27763.0,1.0,157.0,158.0,4.0,78.0,,0.003837716623422162
27764,27764.0,1.0,159.0,160.0,4.0,79.0,,0.0016299058340149615
27765,27765.0,1.0,161.0,162.0,4.0,80.0,,0.00015950318814785132
27766,27766.0,1.0,163.0,164.0,4.0,81.0,,0.0009017819147740264
27767,27767.0,1.0,165.0,166.0,4.0,82.0,,0.0039202321442881475
27768,27768.0,1.0,167.0,168.0,4.0,83.0,,0.00010817520466173771
27769,27769.0,1.0,169.0,170.0,4.0,84.0,,0.00020856561037246873
27770,27770.0,1.0,171.0,172.0,4.0,85.0,,0.0013192587048719902
27771,27771.0,1.0,173.0,174.0,4.0,86.0,,0.0006188153060304258
27772,27772.0,1.0,175.0,176.0,4.0,87.0,,0.0015894076264732617
27773,27773.0,1.0,177.0,178.0,4.0,88.0,,0.006322605040426009
27774,27774.0,1.0,179.0,180.0,4.0,89.0,,0.002435714713107305
27775,27775.0,1.0,181.0,182.0,4.0,90.0,,0.00452993298071589
27776,27776.0,1.0,183.0,184.0,4.0,91.0,,0.0011708466404690566
27777,27777.0,1.0,185.0,186.0,4.0,92.0,,0.0016001344498774355
27778,27778.0,1.0,187.0,188.0,4.0,93.0,,0.0021090399848592467
27779,27779.0,1.0,189.0,190.0,4.0,94.0,,0.0015891844919613228
27780,27780.0,1.0,191.0,192.0,4.0,95.0,,0.0017255790704748376
27781,27781.0,1.0,193.0,194.0,4.0,96.0,,9.62205516077802e-05
27782,27782.0,1.0,195.0,196.0,4.0,97.0,,0.0001702676099929082
27783,27783.0,1.0,197.0,198.0,4.0,98.0,,0.0012306200446206036
27784,27784.0,1.0,199.0,200.0,4.0,99.0,,0.0007165168855821274
27785,27785.0,1.0,201.0,202.0,4.0,100.0,,0.013112006513114739
27786,27786.0,1.0,203.0,204.0,4.0,101.0,,0.0011659815622727509
27787,27787.0,1.0,205.0,206.0,4.0,102.0,,0.0022273441585720284
27788,27788.0,1.0,207.0,208.0,4.0,103.0,,0.000900444634918537
27789,27789.0,1.0,209.0,210.0,4.0,104.0,,0.007130913204573558
27790,27790.0,1.0,211.0,212.0,4.0,105.0,,0.0003299398236504918
27791,27791.0,1.0,213.0,214.0,4.0,106.0,,0.0045820164083390045
27792,27792.0,1.0,215.0,216.0,4.0,107.0,,0.0037062622880364503
27793,27793.0,1.0,217.0,218.0,4.0,108.0,,0.0026882561775558467
27794,27794.0,1.0,219.0,220.0,4.0,109.0,,0.0022153977318347634
27795,27795.0,1.0,221.0,222.0,4.0,110.0,,0.002128187540123343
27796,27796.0,1.0,223.0,224.0,4.0,111.0,,0.0015960258732735794
27797,27797.0,1.0,225.0,226.0,4.0,112.0,,0.00012098115734061448
27798,27798.0,1.0,227.0,228.0,4.0,113.0,,0.0007552997069565629
27799,27799.0,1.0,229.0,230.0,4.0,114.0,,0.003864874395085252
27800,27800.0,1.0,231.0,232.0,4.0,115.0,,0.0003214455659988773
27801,27801.0,1.0,233.0,234.0,4.0,116.0,,0.00023629354462123342
27802,27802.0,1.0,235.0,236.0,4.0,117.0,,0.0025126465455314628
27803,27803.0,1.0,237.0,238.0,4.0,118.0,,0.0025651097034305333
27804,27804.0,1.0,239.0,240.0,4.0,119.0,,0.0013713791623034255
27805,27805.0,1.0,241.0,242.0,4.0,120.0,,6.184692344257344e-05
27806,27806.0,1.0,243.0,244.0,4.0,121.0,,0.016404121393625737
27807,27807.0,1.0,245.0,246.0,4.0,122.0,,0.0009714009823039905
27808,27808.0,1.0,247.0,248.0,4.0,123.0,,0.00014391197841272604
27809,27809.0,1.0,249.0,250.0,4.0,124.0,,0.0016455238424466724
27810,27810.0,1.0,251.0,252.0,4.0,125.0,,0.0006386795485224685
27811,27811.0,1.0,253.0,254.0,4.0,126.0,,0.0002628818531780219
27812,27812.0,1.0,255.0,256.0,4.0,127.0,,0.002825366560658849
27813,27813.0,1.0,257.0,258.0,4.0,128.0,,0.00043780882133423086
27814,27814.0,1.0,259.0,260.0,4.0,129.0,,0.01830722197411013
27815,27815.0,1.0,261.0,262.0,4.0,130.0,,0.0001169886875606623
27816,27816.0,1.0,263.0,264.0,4.0,131.0,,7.832499154771568e-05
27817,27817.0,1.0,265.0,266.0,4.0,132.0,,0.00012572978338225738
28513,28513.0,1.0,267.0,268.0,4.0,133.0,,9.208422861993023e-05
27818,27818.0,1.0,269.0,270.0,4.0,134.0,,0.0035547215318098365
27819,27819.0,1.0,271.0,272.0,4.0,135.0,,5.227501450786519e-05
27820,27820.0,1.0,273.0,274.0,4.0,136.0,,0.00714348016704358
27821,27821.0,1.0,275.0,276.0,4.0,137.0,,0.00017896949188585072
27822,27822.0,1.0,277.0,278.0,4.0,138.0,,0.00018571523299269836
27823,27823.0,1.0,279.0,280.0,4.0,139.0,,0.0005414577286580513
27824,27824.0,1.0,281.0,282.0,4.0,140.0,,0.0017038417538320248
27825,27825.0,1.0,283.0,284.0,4.0,141.0,,0.0019380676777301755
27826,27826.0,1.0,285.0,286.0,4.0,142.0,,0.0010699533606732675
27827,27827.0,1.0,287.0,288.0,4.0,143.0,,0.008269930637387683
27828,27828.0,1.0,289.0,290.0,4.0,144.0,,0.01722290493884612
27829,27829.0,1.0,291.0,292.0,4.0,145.0,,0.0018527798498331892
27830,27830.0,1.0,293.0,294.0,4.0,146.0,,0.00020084041674445433
27831,27831.0,1.0,295.0,296.0,4.0,147.0,,0.01014726562363271
27832,27832.0,1.0,297.0,298.0,4.0,148.0,,0.00867627361847252
27833,27833.0,1.0,299.0,300.0,4.0,149.0,,0.0018100691414246258
27834,27834.0,1.0,301.0,302.0,4.0,150.0,,0.0011029951521894983
27835,27835.0,1.0,303.0,304.0,4.0,151.0,,0.0009579320804682912
27836,27836.0,1.0,305.0,306.0,4.0,152.0,,0.006272215412162669
27837,27837.0,1.0,307.0,308.0,4.0,153.0,,0.00024353944869529368
27838,27838.0,1.0,309.0,310.0,4.0,154.0,,0.0001803984440387848
27839,27839.0,1.0,311.0,312.0,4.0,155.0,,0.0005858195752735356
27840,27840.0,1.0,313.0,314.0,4.0,156.0,,0.0036056130908165692
27841,27841.0,1.0,315.0,316.0,4.0,157.0,,0.00031943054207011974
27842,27842.0,1.0,317.0,318.0,4.0,158.0,,0.003594608731182853
27843,27843.0,1.0,319.0,320.0,4.0,159.0,,5.35338338582573e-05
27844,27844.0,1.0,321.0,322.0,4.0,160.0,,0.0001552142842293865
27845,27845.0,1.0,323.0,324.0,4.0,161.0,,0.0011999174053282306
27846,27846.0,1.0,325.0,326.0,4.0,162.0,,0.003679114712304574
27847,27847.0,1.0,327.0,328.0,4.0,163.0,,0.0008134369259871494
27848,27848.0,1.0,329.0,330.0,4.0,164.0,,0.002342877402405806
27849,27849.0,1.0,331.0,332.0,4.0,165.0,,0.0005664376727618719
27850,27850.0,1.0,333.0,334.0,4.0,166.0,,0.00021013242218365433
27851,27851.0,1.0,335.0,336.0,4.0,167.0,,0.002682035258171008
27852,27852.0,1.0,337.0,338.0,4.0,168.0,,0.00035909420623482584
27853,27853.0,1.0,339.0,340.0,4.0,169.0,,0.0005184823523579707
28514,28514.0,1.0,341.0,342.0,4.0,170.0,,0.0002830484460466824
27854,27854.0,1.0,343.0,344.0,4.0,171.0,,0.008512227690384403
27855,27855.0,1.0,345.0,346.0,4.0,172.0,,0.0002087465476049582
27856,27856.0,1.0,347.0,348.0,4.0,173.0,,3.9896907194823067e-05
27857,27857.0,1.0,349.0,350.0,4.0,174.0,,0.0008824273724836115
27858,27858.0,1.0,351.0,352.0,4.0,175.0,,0.007814977516984215
27859,27859.0,1.0,353.0,354.0,4.0,176.0,,0.00015766545223531005
27860,27860.0,1.0,355.0,356.0,4.0,177.0,,0.00027667213799480894
27861,27861.0,1.0,357.0,358.0,4.0,178.0,,0.00019774975047998157
27862,27862.0,1.0,359.0,360.0,4.0,179.0,,0.0016809570229682216
27863,27863.0,1.0,361.0,362.0,4.0,180.0,,0.005075619827622174
27864,27864.0,1.0,363.0,364.0,4.0,181.0,,0.0002889700676096891
27865,27865.0,1.0,365.0,366.0,4.0,182.0,,0.0064449738839728226
27866,27866.0,1.0,367.0,368.0,4.0,183.0,,0.005387447306775309
27867,27867.0,1.0,369.0,370.0,4.0,184.0,,0.0029014181072489135
27868,27868.0,1.0,371.0,372.0,4.0,185.0,,0.004203240265968663
27869,27869.0,1.0,373.0,374.0,4.0,186.0,,0.008221489485754959
27870,27870.0,1.0,375.0,376.0,4.0,187.0,,0.00025686603934533685
27871,27871.0,1.0,377.0,378.0,4.0,188.0,,5.2123253205648006e-05
27872,27872.0,1.0,379.0,380.0,4.0,189.0,,0.0022606235129329698
27873,27873.0,1.0,381.0,382.0,4.0,190.0,,0.010682243786318596
27874,27874.0,1.0,383.0,384.0,4.0,191.0,,9.249944505710243e-05
27875,27875.0,1.0,385.0,386.0,4.0,192.0,,0.0069497948287388
27876,27876.0,1.0,387.0,388.0,4.0,193.0,,0.0008501306161418804
27877,27877.0,1.0,389.0,390.0,4.0,194.0,,0.00016282588733046997
27878,27878.0,1.0,391.0,392.0,4.0,195.0,,0.009950120073819152
27879,27879.0,1.0,393.0,394.0,4.0,196.0,,0.003489639086298921
27880,27880.0,1.0,395.0,396.0,4.0,197.0,,0.005341287816592422
27881,27881.0,1.0,397.0,398.0,4.0,198.0,,0.00048061798621245986
27882,27882.0,1.0,399.0,400.0,4.0,199.0,,0.007012667976178659
27883,27883.0,1.0,401.0,402.0,4.0,200.0,,0.00703313045773017
27884,27884.0,1.0,403.0,404.0,4.0,201.0,,0.0009731596168076087
27885,27885.0,1.0,405.0,406.0,4.0,202.0,,0.002119896513740852
27886,27886.0,1.0,407.0,408.0,4.0,203.0,,8.295487888613907e-05
27887,27887.0,1.0,409.0,410.0,4.0,204.0,,9.338915238348999e-05
27888,27888.0,1.0,411.0,412.0,4.0,205.0,,0.010592788847261125
27889,27889.0,1.0,413.0,414.0,4.0,206.0,,6.427452956492228e-05
27890,27890.0,1.0,415.0,416.0,4.0,207.0,,0.0002669875763201807
27891,27891.0,1.0,417.0,418.0,4.0,208.0,,0.03699019551352011
27892,27892.0,1.0,419.0,420.0,4.0,209.0,,0.004713746241926875
27893,27893.0,1.0,421.0,422.0,4.0,210.0,,0.009033382630268094
27894,27894.0,1.0,423.0,424.0,4.0,211.0,,0.00749144710383566
27895,27895.0,1.0,425.0,426.0,4.0,212.0,,0.0007522538875585442
27896,27896.0,1.0,427.0,428.0,4.0,213.0,,0.01006464044837142
27897,27897.0,1.0,429.0,430.0,4.0,214.0,,0.00044127963249557115
27898,27898.0,1.0,431.0,432.0,4.0,215.0,,0.00022842597497513544
27899,27899.0,1.0,433.0,434.0,4.0,216.0,,0.007133764373884244
27900,27900.0,1.0,435.0,436.0,4.0,217.0,,0.00015789823196680304
27901,27901.0,1.0,437.0,438.0,4.0,218.0,,0.010166417334867839
27902,27902.0,1.0,439.0,440.0,4.0,219.0,,9.190417432970003e-05
27903,27903.0,1.0,441.0,442.0,4.0,220.0,,0.0006763426280724375
27904,27904.0,1.0,443.0,444.0,4.0,221.0,,0.004791243327744939
27905,27905.0,1.0,445.0,446.0,4.0,222.0,,0.01759399075368521
27906,27906.0,1.0,447.0,448.0,4.0,223.0,,0.00587306729919125
