from_stop_id,to_stop_id,transfer_type,min_transfer_time
1631,1592,2,0
6142,1593,2,0
6143,1597,2,0
1632,1598,2,0
1633,1599,2,0
1634,1600,2,0
1635,1601,2,0
6145,1602,2,0
4953,1603,2,0
1636,1604,2,0
1637,1605,1,
6147,1609,2,0
1638,1610,2,0
1639,1611,2,0
1640,1612,2,0
6150,1613,2,0
1641,1614,2,0
6151,1615,2,0
6152,1616,2,0
1617,1617,1,
1573,1618,2,0
1574,1619,2,0
1577,1620,2,0
1578,1621,2,0
1579,1622,2,0
1580,1623,2,0
1582,1624,2,0
1583,1625,2,0
1584,1626,2,0
1585,1627,1,
1627,1627,1,
1588,1628,2,0
1586,1629,2,0
1629,1629,1,
1589,1630,2,0
1592,1631,2,0
1598,1632,2,0
1599,1633,2,0
1600,1634,2,0
1601,1635,2,0
1604,1636,2,0
1605,1637,2,0
1637,1637,1,
1610,1638,2,0
1611,1639,2,0
1612,1640,2,0
1614,1641,2,0
1647,1643,2,0
1646,1644,2,0
1644,1646,2,0
1643,1647,2,0
1684,1649,2,0
1683,1651,2,0
1682,1653,2,0
1681,1654,2,0
1680,1655,2,0
1679,1656,2,0
1657,1657,2,0
1677,1658,2,0
1676,1659,2,0
1675,1661,2,0
1663,1663,1,
1674,1663,2,0
1673,1665,2,0
1672,1672,2,0
1670,1669,2,0
2293,1669,2,0
5266,1669,2,0
1669,1670,2,0
1665,1673,2,0
1663,1674,1,
1661,1675,2,0
1659,1676,2,0
1658,1677,2,0
1656,1679,2,0
1655,1680,2,0
1654,1681,2,0
1653,1682,2,0
1651,1683,2,0
1649,1684,2,0
1698,1696,2,0
1696,1698,2,0
1735,1703,2,0
1734,1705,2,0
1733,1706,2,0
1732,1707,2,0
1731,1708,2,0
1717,1712,2,0
1716,1713,2,0
1713,1716,2,0
1712,1717,2,0
1736,1723,2,0
1724,1724,1,
1730,1724,2,0
1729,1725,2,0
1725,1729,2,0
1724,1730,1,
1708,1731,2,0
1707,1732,2,0
1706,1733,2,0
1705,1734,2,0
1703,1735,2,0
1723,1736,2,0
1752,1749,2,0
1750,1750,1,
1749,1752,2,0
1766,1759,2,0
1759,1766,2,0
5484,1769,2,0
1777,1777,1,
1800,1781,2,0
1799,1782,2,0
1790,1790,1,
1782,1799,2,0
1781,1800,2,0
1535,1807,2,0
1808,1807,2,0
1853,1807,2,0
2380,1807,2,0
1535,1808,2,0
1807,1808,2,0
1853,1808,2,0
2380,1808,2,0
4477,1809,2,0
1817,1817,1,
1820,1818,2,0
1819,1819,1,
1818,1820,2,0
1822,1822,1,
1825,1825,1,
1831,1831,1,
1852,1832,2,0
1851,1833,2,0
1844,1844,1,
1833,1851,2,0
1832,1852,2,0
1535,1853,2,0
1807,1853,2,0
1808,1853,2,0
2380,1853,2,0
1126,1865,1,
1865,1865,1,
2242,1865,2,0
2244,1865,2,0
5475,1865,2,0
1885,1880,2,0
1884,1881,2,0
1881,1884,2,0
1880,1885,2,0
1886,1886,1,
1893,1893,1,
4261,1893,2,0
4263,1894,2,0
1895,1895,1,
4264,1895,2,0
4265,1896,2,0
4266,1897,2,0
4268,1898,2,0
4269,1899,2,0
4270,1900,2,0
4271,1901,2,0
4272,1902,2,0
4273,1903,2,0
4274,1904,1,
4276,1905,2,0
4277,1906,2,0
4278,1907,2,0
4279,1908,2,0
4280,1909,2,0
4281,1910,2,0
4282,1911,2,0
4283,1912,2,0
1915,1915,1,
1922,1920,2,0
1920,1922,2,0
1930,1930,1,
1120,1933,1,
1184,1933,1,
1933,1933,1,
1956,1933,2,0
1936,1936,1,
1952,1943,2,0
1954,1944,2,0
1951,1950,2,0
1950,1951,2,0
1943,1952,2,0
1944,1954,2,0
1120,1956,2,0
1184,1956,1,
1933,1956,2,0
1956,1956,1,
1958,1958,1,
1961,1961,1,
1962,1961,2,0
1961,1962,2,0
5769,1965,2,0
1969,1969,1,
1971,1971,1,
1979,1979,1,
1993,1993,1,
1998,1993,2,0
1993,1998,1,
1999,1999,1,
2004,2004,1,
2005,2005,1,
2010,2010,1,
2025,2025,1,
2029,2029,1,
2068,2066,2,0
2067,2067,1,
2066,2068,2,0
2069,2069,1,
2073,2073,1,
2099,2099,1,
2106,2104,2,0
2104,2106,2,0
2107,2107,1,
2125,2125,1,
2128,2128,1,
3494,2128,2,0
897,2150,2,0
615,2174,1,
616,2174,2,0
2231,2230,2,0
2230,2231,2,0
1141,2238,2,0
1126,2242,2,0
1865,2242,2,0
2244,2242,2,0
5475,2242,2,0
1126,2244,2,0
1865,2244,2,0
2242,2244,2,0
5475,2244,2,0
99,2246,2,0
1163,2248,2,0
1153,2250,2,0
6058,2255,2,0
6133,2264,2,0
5810,5810,2,0
5974,2269,2,0
6128,2281,2,0
6149,2289,2,0
1669,2293,2,0
6043,2316,2,0
5384,2334,2,0
5385,2335,2,0
4267,2348,2,0
6060,2357,2,0
2364,2364,1,
2373,2373,1,
1535,2380,2,0
1807,2380,2,0
1808,2380,2,0
1853,2380,2,0
5969,2382,2,0
2385,2385,1,
2600,2385,1,
2599,2386,2,0
2780,2386,2,0
2390,2389,2,0
2389,2390,2,0
2391,2390,2,0
2390,2391,2,0
2393,2392,2,0
2392,2393,2,0
2395,2394,2,0
2394,2395,2,0
3910,2395,2,0
2398,2397,2,0
2399,2397,2,0
2400,2397,2,0
2410,2397,2,0
2397,2398,2,0
2399,2398,2,0
2400,2398,2,0
2410,2398,2,0
2397,2399,2,0
2398,2399,2,0
2400,2399,2,0
2401,2399,2,0
2410,2399,2,0
2397,2400,2,0
2398,2400,2,0
2399,2400,2,0
2401,2400,2,0
2402,2400,2,0
2410,2400,2,0
2399,2401,2,0
2400,2401,2,0
2401,2401,1,
2402,2401,2,0
2410,2401,2,0
2400,2402,2,0
2401,2402,2,0
2410,2402,2,0
2405,2403,2,0
2406,2403,2,0
2403,2405,2,0
2406,2405,2,0
2403,2406,2,0
2405,2406,2,0
2408,2407,2,0
2409,2407,2,0
3911,2407,2,0
2407,2408,2,0
2409,2408,2,0
3911,2408,2,0
2407,2409,2,0
2408,2409,2,0
3911,2409,2,0
2397,2410,2,0
2398,2410,2,0
2399,2410,2,0
2400,2410,2,0
2401,2410,2,0
2402,2410,2,0
2601,2413,2,0
2415,2414,2,0
2602,2414,2,0
2414,2415,2,0
2602,2415,2,0
2417,2417,1,
2418,2417,2,0
2419,2417,2,0
2440,2417,1,
2604,2417,2,0
2417,2418,2,0
2419,2418,2,0
2440,2418,2,0
2604,2418,2,0
6098,2418,2,0
2417,2419,2,0
2418,2419,2,0
2440,2419,2,0
2604,2419,2,0
2422,2421,2,0
2421,2422,2,0
1,2426,2,0
74,2426,2,0
2427,2427,1,
2591,2427,1,
2430,2430,1,
2431,2431,1,
2433,2432,2,0
2432,2433,2,0
3901,2437,2,0
2417,2440,1,
2418,2440,2,0
2419,2440,2,0
2440,2440,1,
2604,2440,2,0
2442,2441,2,0
2605,2441,2,0
2441,2442,2,0
2605,2442,2,0
2614,2445,2,0
2446,2446,1,
2447,2446,2,0
2448,2446,2,0
5814,2446,1,
2446,2447,2,0
2448,2447,2,0
5813,2447,2,0
2446,2448,2,0
2447,2448,2,0
2448,2448,1,
5731,2448,2,0
5732,2448,2,0
2454,2454,1,
2456,2455,2,0
2457,2455,2,0
2455,2456,2,0
2457,2456,2,0
2458,2456,2,0
2455,2457,2,0
2456,2457,2,0
2458,2457,2,0
2456,2458,2,0
2457,2458,2,0
2460,2459,2,0
2459,2460,2,0
2463,2462,2,0
2464,2462,2,0
2462,2463,2,0
2464,2463,2,0
2462,2464,2,0
2463,2464,2,0
2615,2465,2,0
2467,2466,2,0
2468,2466,2,0
2469,2466,2,0
2470,2466,2,0
2466,2467,2,0
2468,2467,2,0
2469,2467,2,0
2470,2467,2,0
2466,2468,2,0
2467,2468,2,0
2469,2468,2,0
2470,2468,2,0
2466,2469,2,0
2467,2469,2,0
2468,2469,2,0
2470,2469,2,0
2466,2470,2,0
2467,2470,2,0
2468,2470,2,0
2469,2470,2,0
2478,2478,1,
2511,2511,1,
2581,2511,1,
2512,2512,1,
2580,2512,1,
2513,2513,1,
2579,2513,1,
4543,2513,2,0
2834,2514,2,0
2517,2516,2,0
2518,2516,2,0
2516,2517,2,0
2518,2517,2,0
2516,2518,2,0
2517,2518,2,0
2519,2519,1,
2579,2519,1,
2520,2520,1,
2578,2520,2,0
2526,2524,2,0
2527,2524,2,0
2524,2526,2,0
2527,2526,2,0
2524,2527,2,0
2526,2527,2,0
4,2528,2,0
73,2528,2,0
2528,2528,2,0
2748,2530,2,0
2532,2532,1,
2534,2532,2,0
2534,2533,2,0
2532,2534,2,0
2533,2534,2,0
2536,2536,1,
2537,2536,2,0
2539,2536,2,0
2540,2536,2,0
2541,2536,2,0
4013,2536,2,0
2536,2537,1,
2539,2537,2,0
2540,2537,2,0
2541,2537,2,0
4013,2537,2,0
2538,2538,1,
2539,2538,2,0
4013,2538,2,0
2536,2539,2,0
2537,2539,2,0
2538,2539,2,0
4013,2539,2,0
2536,2540,2,0
2537,2540,2,0
2541,2540,2,0
4013,2540,2,0
2536,2541,2,0
2537,2541,2,0
2540,2541,2,0
4013,2541,2,0
2542,2542,1,
2543,2542,2,0
2544,2542,2,0
2559,2542,2,0
2560,2542,2,0
2542,2543,2,0
2544,2543,2,0
2558,2543,2,0
2559,2543,2,0
2560,2543,2,0
2542,2544,2,0
2543,2544,2,0
2559,2544,2,0
2560,2544,2,0
5821,2547,2,0
77,2548,2,0
2551,2551,1,
2552,2551,2,0
2553,2551,2,0
2554,2551,2,0
2555,2551,2,0
2830,2551,2,0
2551,2552,2,0
2552,2552,1,
2553,2552,2,0
2830,2552,2,0
2551,2553,2,0
2552,2553,2,0
2554,2553,2,0
2555,2553,2,0
2830,2553,2,0
2551,2554,2,0
2553,2554,2,0
2555,2554,2,0
2830,2554,2,0
2551,2555,2,0
2553,2555,2,0
2554,2555,2,0
2543,2558,2,0
2559,2558,2,0
2560,2558,2,0
2542,2559,2,0
2543,2559,2,0
2544,2559,2,0
2558,2559,2,0
2560,2559,2,0
2542,2560,2,0
2543,2560,2,0
2544,2560,2,0
2558,2560,2,0
2559,2560,2,0
2837,2561,2,0
4198,2562,2,0
2566,2565,2,0
5798,2565,2,0
2565,2566,2,0
2566,2566,1,
2680,2566,2,0
2570,2570,1,
2590,2570,2,0
79,2572,2,0
134,2572,2,0
2918,2573,2,0
133,2574,2,0
548,2576,2,0
552,2576,2,0
2520,2578,2,0
2513,2579,1,
2519,2579,1,
2579,2579,1,
2512,2580,1,
2580,2580,1,
2511,2581,1,
2581,2581,1,
2661,2583,2,0
2586,2586,1,
2740,2586,2,0
2751,2586,1,
3917,2586,2,0
3918,2587,2,0
2746,2588,2,0
3490,2588,2,0
2589,2589,1,
2684,2589,1,
2570,2590,1,
2427,2591,1,
2591,2591,1,
2617,2593,1,
2618,2593,2,0
2778,2593,2,0
2739,2594,2,0
2738,2595,2,0
2737,2596,2,0
3895,2597,2,0
2736,2598,2,0
2386,2599,2,0
2780,2599,1,
2385,2600,1,
2600,2600,1,
2413,2601,2,0
2414,2602,2,0
2415,2602,2,0
2417,2604,1,
2418,2604,2,0
2419,2604,2,0
2440,2604,2,0
2441,2605,2,0
2442,2605,2,0
2609,2609,1,
2612,2611,2,0
2613,2611,2,0
2611,2612,2,0
2613,2612,2,0
2611,2613,2,0
2612,2613,2,0
2445,2614,2,0
2465,2615,2,0
5987,2616,2,0
2593,2617,2,0
2617,2617,1,
2618,2617,2,0
2778,2617,2,0
2593,2618,2,0
2617,2618,2,0
2778,2618,2,0
2621,2621,1,
2626,2622,2,0
2625,2624,2,0
2624,2625,2,0
2622,2626,2,0
2628,2627,2,0
2633,2627,2,0
2627,2628,2,0
2630,2628,2,0
2633,2628,2,0
2628,2630,2,0
2633,2630,2,0
2627,2633,2,0
2628,2633,2,0
2630,2633,2,0
2639,2638,2,0
4026,2638,2,0
2638,2639,2,0
4026,2639,2,0
2646,2645,2,0
2645,2646,2,0
2648,2647,2,0
4014,2647,2,0
4016,2647,2,0
2647,2648,2,0
4014,2648,2,0
4016,2648,2,0
2650,2649,2,0
2649,2650,2,0
2650,2650,1,
2655,2655,1,
2583,2661,2,0
2664,2664,1,
2666,2665,2,0
2665,2666,2,0
2668,2667,2,0
2669,2667,2,0
2667,2668,2,0
2669,2668,2,0
2667,2669,2,0
2668,2669,2,0
2674,2673,2,0
2675,2673,2,0
2711,2673,2,0
2673,2674,2,0
2674,2674,1,
2675,2674,2,0
2711,2674,2,0
2673,2675,2,0
2674,2675,2,0
2711,2675,2,0
2676,2676,1,
2677,2677,1,
5863,2677,1,
5905,2677,1,
2566,2680,2,0
2589,2684,1,
2684,2684,1,
2838,2685,2,0
4307,2686,2,0
4308,2686,2,0
2687,2687,1,
3319,2688,2,0
2695,2694,2,0
2694,2695,2,0
2747,2697,2,0
2702,2702,1,
4001,2702,2,0
2704,2703,2,0
2703,2704,2,0
2706,2705,2,0
2705,2706,2,0
4003,2707,2,0
4004,2707,2,0
4181,2707,2,0
2709,2708,2,0
2708,2709,2,0
4007,2709,2,0
2710,2710,1,
2673,2711,2,0
2674,2711,2,0
2675,2711,2,0
2714,2714,1,
2715,2714,2,0
4213,2714,2,0
5755,2714,1,
2714,2715,2,0
2716,2715,2,0
4213,2715,2,0
5756,2715,2,0
2715,2716,2,0
2718,2717,2,0
2719,2717,2,0
2717,2718,2,0
2719,2718,2,0
2720,2718,2,0
2717,2719,2,0
2718,2719,2,0
2720,2719,2,0
2718,2720,2,0
2719,2720,2,0
2723,2722,2,0
2722,2723,2,0
2723,2723,1,
2732,2731,2,0
2731,2732,2,0
2598,2736,2,0
2596,2737,2,0
2595,2738,2,0
2594,2739,2,0
2586,2740,2,0
2751,2740,2,0
3917,2740,2,0
2588,2746,2,0
3490,2746,2,0
2697,2747,2,0
2530,2748,2,0
2586,2751,1,
2740,2751,2,0
2751,2751,1,
3917,2751,2,0
4083,2767,2,0
3972,2771,2,0
2776,2776,1,
2593,2778,2,0
2617,2778,2,0
2618,2778,2,0
2386,2780,2,0
2599,2780,2,0
2780,2780,1,
2790,2788,2,0
2788,2790,2,0
744,2806,2,0
748,2806,2,0
858,2806,2,0
2812,2812,1,
6056,2819,2,0
2825,2825,1,
2551,2830,2,0
2552,2830,2,0
2553,2830,2,0
2554,2830,2,0
2514,2834,2,0
2561,2837,2,0
2685,2838,2,0
5,2847,1,
2573,2918,2,0
3082,3082,1,
4329,3109,2,0
5916,3138,2,0
5964,3213,2,0
5253,3249,2,0
2688,3319,2,0
2588,3490,2,0
2746,3490,2,0
2128,3494,1,
3531,3531,1,
5846,3619,2,0
5194,3722,2,0
3871,3871,1,
2597,3895,2,0
2437,3901,2,0
2395,3910,2,0
2407,3911,2,0
2408,3911,2,0
2409,3911,2,0
2586,3917,2,0
2740,3917,2,0
2751,3917,2,0
2587,3918,2,0
4109,3928,2,0
6087,3944,2,0
3944,3944,1,
3971,3944,1,
3946,3946,1,
4082,3958,2,0
5939,3959,2,0
6087,3971,2,0
3944,3971,1,
3971,3971,1,
2771,3972,2,0
4275,3982,2,0
2702,4001,2,0
2707,4003,2,0
4004,4003,2,0
4181,4003,2,0
2707,4004,2,0
4003,4004,2,0
4181,4004,2,0
2709,4007,2,0
2536,4013,2,0
2537,4013,2,0
2538,4013,2,0
2539,4013,2,0
2540,4013,2,0
2541,4013,2,0
2647,4014,2,0
2648,4014,2,0
4016,4014,2,0
2647,4016,2,0
2648,4016,2,0
4014,4016,2,0
2638,4026,2,0
2639,4026,2,0
6045,4027,2,0
4068,4066,2,0
4066,4068,2,0
4738,4069,2,0
3958,4082,2,0
2767,4083,2,0
5594,4088,2,0
4743,4108,2,0
3928,4109,2,0
4154,4154,1,
6077,4155,2,0
5975,4167,2,0
5201,4178,2,0
2707,4181,2,0
4003,4181,2,0
4004,4181,2,0
2562,4198,2,0
5766,4200,2,0
2714,4213,2,0
2715,4213,2,0
