service_id,date,exception_type
0000000602020091420210610,20210421,1
0000000602020091420210610,20210422,1
0000000602020091420210610,20210423,1
0000000602020091420210610,20210424,1
0000000602020091420210610,20210426,1
0000000602020091420210610,20210427,1
0000000602020091420210610,20210428,1
0000000602020091420210610,20210429,1
0000000602020091420210610,20210430,1
0000000602020091420210610,20210501,2
0000000602020091420210610,20210503,1
0000000602020091420210610,20210504,1
0000000602020091420210610,20210505,1
0000000602020091420210610,20210506,1
0000000602020091420210610,20210507,1
0000000602020091420210610,20210508,1
0000000602020091420210610,20210510,1
0000000602020091420210610,20210511,1
0000000602020091420210610,20210512,1
0000000602020091420210610,20210513,1
0000000602020091420210610,20210514,1
0000000602020091420210610,20210515,1
0000000602020091420210610,20210517,1
0000000602020091420210610,20210518,1
0000000602020091420210610,20210519,1
0000000602020091420210610,20210520,1
0000000602020091420210610,20210521,1
0000000602020091420210610,20210522,1
0000000602020091420210610,20210524,1
0000000602020091420210610,20210525,1
0000000602020091420210610,20210526,1
0000000602020091420210610,20210527,1
0000000602020091420210610,20210528,1
0000000602020091420210610,20210529,1
0000000602020091420210610,20210531,1
0000000602020091420210610,20210601,1
0000000602020091420210610,20210602,2
0000000602020091420210610,20210603,1
0000000602020091420210610,20210604,1
0000000602020091420210610,20210605,1
0000000602020091420210610,20210607,1
0000000602020091420210610,20210608,1
0000000602020091420210610,20210609,1
0000000602020091420210610,20210610,1
0000000622020091420210610,20201208,1
0000000622020091420210610,20201225,1
0000000622020091420210610,20201226,1
0000000622020091420210610,20210101,1
0000000622020091420210610,20210106,1
0000000622020091420210610,20210405,1
0000000622020091420210610,20210501,1
0000000622020091420210610,20210602,1
0000000662020091420210610,20201208,2
0000000662020091420210610,20201225,2
0000000662020091420210610,20201226,2
0000000662020091420210610,20210101,2
0000000662020091420210610,20210106,2
0000000662020091420210610,20210405,2
0000000662020091420210610,20210501,2
0000000662020091420210610,20210602,2
0000000672020091420210610,20201102,2
0000000672020091420210610,20201207,2
0000000672020091420210610,20201208,2
0000000672020091420210610,20201224,2
0000000672020091420210610,20201225,2
0000000672020091420210610,20201226,2
0000000672020091420210610,20201228,2
0000000672020091420210610,20201229,2
0000000672020091420210610,20201230,2
0000000672020091420210610,20201231,2
0000000672020091420210610,20210101,2
0000000672020091420210610,20210102,2
0000000672020091420210610,20210104,2
0000000672020091420210610,20210105,2
0000000672020091420210610,20210106,2
0000000672020091420210610,20210215,2
0000000672020091420210610,20210216,2
