route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
582,0000000772020091420210610,0003440492020091420210610,Sano,0,D316_R5225a_Andata_sub1,1
582,0000000772020091420210610,0003440502020091420210610,Sano,0,D316_R5225a_Andata_sub1,1
602,0000000672020091420210610,0003440542020091420210610,Savignano,1,D31_C5501_Andata_sub2,2
602,0000000672020091420210610,0003440552020091420210610,Pomarolo Via Degasperi,0,D25_C5204a_Ritorno_sub1,2
578,0000000592020091420210610,0003440562020091420210610,Marco,0,D299_R5153_Andata_sub2,1
578,0000000592020091420210610,0003440572020091420210610,Corso Bettini Liceo,1,D264_R5104a_Ritorno_sub2,1
592,0000000662020091420210610,0003440602020091420210610,Nogaredo Via S.Biagio,1,D451_R5410a_Ritorno_sub1,1
594,0000000662020091420210610,0003440612020091420210610,Corso Verona Ospedale,1,D463_R5522b_Ritorno_sub2,1
578,0000000592020091420210610,0003440622020091420210610,Marco,0,D272_R5111_Andata_sub2,1
578,0000000662020091420210610,0003440632020091420210610,Marco,0,D241_N5147_Andata_sub1,1
578,0000000662020091420210610,0003440642020091420210610,Volano Via Roma,1,D273_R5112a_Ritorno_sub1,1
578,0000000662020091420210610,0003440652020091420210610,Marco,0,D270_R5109e_Andata_sub2,1
582,0000000662020091420210610,0003440662020091420210610,Mori Via Don Sturzo,0,D308_R5205b_Andata_sub2,1
582,0000000662020091420210610,0003440672020091420210610,Nomi Piazza Springa,1,D319_R5232_Ritorno_sub2,1
582,0000000662020091420210610,0003440752020091420210610,S.Ilario Via Monti,1,D317_R5228_Ritorno_sub2,1
582,0000000662020091420210610,0003440762020091420210610,Nomi Piazza Springa,1,D319_R5232_Ritorno_sub2,1
582,0000000662020091420210610,0003440772020091420210610,Mori Via Don Sturzo,0,D308_R5205b_Andata_sub2,1
582,0000000662020091420210610,0003440782020091420210610,Mori Via Don Sturzo,0,D305_R5201b_Andata_sub1,1
582,0000000822020091420210610,0003440802020091420210610,Mori Via Don Sturzo,0,D304_R5201a_Andata_sub1,1
582,0000000822020091420210610,0003440812020091420210610,Pomarolo Via Degasperi,1,D320_R5234_Ritorno_sub2,1
594,0000000662020091420210610,0003440832020091420210610,Villa Lagarina Via Magrè,0,D456_R5509a_Andata_sub1,1
592,0000000662020091420210610,0003440842020091420210610,Lenzima,0,D450_R5409a_Andata_sub2,1
592,0000000662020091420210610,0003440852020091420210610,Villa Lagarina Via Magrè,1,D449_R5408a_Ritorno_sub1,1
578,0000000662020091420210610,0003440882020091420210610,Marco,0,D241_N5147_Andata_sub1,1
580,0000000592020091420210610,0003440922020091420210610,Corso Verona Ospedale,0,D480_R5651b_Andata_(Ospedale)_sub2,1
578,0000000662020091420210610,0003441002020091420210610,Ss.240 "Alla Staffa",0,D81_E5191a_sub2,1
578,0000000592020091420210610,0003441012020091420210610,Marco,0,D241_N5147_Andata_sub1,1
580,0000000592020091420210610,0003441032020091420210610,Via Zeni "Centro Tecnofin",0,D483_R5665_Andata_sub2,1
580,0000000602020091420210610,0003441052020091420210610,Via Zeni "Centro Tecnofin",0,D482_R5663_Andata_sub2,1
582,0000000672020091420210610,0003441092020091420210610,S.Ilario Via Monti,1,D315_R5224a_Ritorno_sub2,1
578,0000000662020091420210610,0003441122020091420210610,Volano Via Roma,1,D275_R5114a_Ritorno_sub2,1
598,0000000662020091420210610,0003441132020091420210610,Nomi Piazza Springa,0,D59_C5821_Andata_sub1,2
598,0000000662020091420210610,0003441142020091420210610,Nomi Piazza Springa,0,D67_C5829_Andata_sub2,2
598,0000000662020091420210610,0003441152020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441162020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441172020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441182020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441192020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441202020091420210610,Nomi Piazza Springa,0,D67_C5829_Andata_sub2,2
598,0000000662020091420210610,0003441212020091420210610,Nomi Piazza Springa,0,D63_C5825_Andata_sub1,2
598,0000000662020091420210610,0003441222020091420210610,Nomi Piazza Springa,0,D61_C5823_Andata_sub1,2
598,0000000662020091420210610,0003441232020091420210610,Nomi Piazza Springa,0,D63_C5825_Andata_sub1,2
598,0000000662020091420210610,0003441242020091420210610,Besenello Nord,0,D63_C5825_Andata_sub2,2
598,0000000662020091420210610,0003441252020091420210610,Volano Casa di Riposo,0,D61_C5823_Andata_sub2,2
598,0000000662020091420210610,0003441262020091420210610,Volano Casa di Riposo,0,D61_C5823_Andata_sub2,2
598,0000000662020091420210610,0003441272020091420210610,Volano Casa di Riposo,0,D61_C5823_Andata_sub2,2
598,0000000662020091420210610,0003441282020091420210610,Volano Casa di Riposo,0,D60_C5822_Ritorno_sub2,2
598,0000000662020091420210610,0003441292020091420210610,Volano Casa di Riposo,0,D61_C5823_Andata_sub2,2
598,0000000662020091420210610,0003441302020091420210610,Volano Casa di Riposo,0,D61_C5823_Andata_sub2,2
598,0000000662020091420210610,0003441312020091420210610,Volano Casa di Riposo,0,D60_C5822_Ritorno_sub2,2
598,0000000662020091420210610,0003441322020091420210610,Besenello Nord,0,D63_C5825_Andata_sub2,2
598,0000000662020091420210610,0003441332020091420210610,Corso Verona Ospedale,0,D68_C5830_Ritorno_sub1,2
598,0000000662020091420210610,0003441342020091420210610,Corso Verona Ospedale,0,D68_C5830_Ritorno_sub1,2
578,0000000592020091420210610,0003441352020091420210610,Marco,0,D299_R5153_Andata_sub2,1
578,0000000662020091420210610,0003441372020091420210610,Besenello Nord,1,D268_R5108a_Ritorno_sub2,1
578,0000000662020091420210610,0003441382020091420210610,Besenello Nord,1,D268_R5108a_Ritorno_sub2,1
578,0000000592020091420210610,0003441392020091420210610,Besenello Nord,1,D268_R5108a_Ritorno_sub2,1
578,0000000592020091420210610,0003441402020091420210610,Marco,0,D285_R5127a_Andata_sub1,1
578,0000000662020091420210610,0003441412020091420210610,Marco,0,D285_R5127a_Andata_sub1,1
578,0000000662020091420210610,0003441422020091420210610,Marco,0,D285_R5127a_Andata_sub1,1
590,0000000602020091420210610,0003441432020091420210610,Lenzima,0,D112_E5353a_sub1,1
590,0000000672020091420210610,0003441442020091420210610,Lenzima,0,D112_E5353a_sub1,1
582,0000000592020091420210610,0003441492020091420210610,Sano,0,D316_R5225a_Andata_sub1,1
582,0000000592020091420210610,0003441502020091420210610,Nomi Piazza Springa,1,D319_R5232_Ritorno_sub2,1
578,0000000672020091420210610,0003441512020091420210610,Stazione Fs,0,D112_E5353a_sub1,1
580,0000000602020091420210610,0003441522020091420210610,Stazione Fs,1,D471_R5634b_Ritorno_sub1,1
580,0000000672020091420210610,0003441542020091420210610,Stazione Fs,1,D476_R5644_Ritorno_sub1,1
512,0000000602020091420210610,0003441562020091420210610,Piazzale Orsi Ist. Veronesi,1,D58_C5728c_sub2,2
601,0000000662020091420210610,0003441572020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,2
601,0000000822020091420210610,0003441582020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,2
601,0000000662020091420210610,0003441592020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,2
601,0000000592020091420210610,0003441602020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,2
601,0000000662020091420210610,0003441612020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,2
601,0000000822020091420210610,0003441622020091420210610,Lago di Cei Bellaria,1,D120_E5363d_sub1,2
601,0000000592020091420210610,0003441632020091420210610,Lago di Cei Bellaria,1,D120_E5363d_sub1,2
590,0000000672020091420210610,0003441642020091420210610,Lago di Cei Bellaria,1,D95_E5336a_sub1,1
590,0000000772020091420210610,0003441652020091420210610,Lago di Cei Bellaria,0,D108_E5350_sub1,1
