,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
400,400,,Trento,Trento,Via Giovanni Segantini,16,38122,400
401,401,,Trento,Trento,Via Santa Croce,,38122,401
402,402,,Trento,Trento,Piazza Venezia,31,38122,402
403,403,,Trento,Trento,Piazza Dante,,38122,403
404,404,,Trento,Trento,Via dei Solteri,,38121,404
405,405,,Trento,Trento,Via Don Tommaso Dallafior,,38100,405
406,406,,Trento,Trento,Largo Donatori volontari del sangue,,,406
