,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
122,122,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,122
123,123,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,123
124,124,,Trento,Trento,Autostrada del Brennero,,38063,124
125,125,,Trento,Trento,,,39068,125
126,126,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,126
127,127,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,127
128,128,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,128
129,129,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,129
130,130,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,130
131,131,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,131
132,132,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,132
133,133,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,133
134,134,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,134
135,135,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,135
136,136,,Trento,Trento,Via Postal,,38016,136
137,137,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,137
138,138,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,138
139,139,,Trento,Trento,Via Fersina,,38123,139
140,140,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,140
141,141,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,141
142,142,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,142
143,143,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,143
144,144,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,144
145,145,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,145
146,146,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,146
147,147,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,147
148,148,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,148
149,149,,Trento,Trento,Lungadige Louis Braille,,38121,149
150,150,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38122,150
151,151,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38122,151
152,152,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38122,152
153,153,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,153
154,154,,Trento,Trento,Via Quattro Novembre,,38016,154
155,155,,Trento,Trento,Via Francesco de Panizza,,38016,155
156,156,,Trento,Trento,SP29,,38017,156
157,157,,Trento,Trento,SP29,,38017,157
158,158,,Trento,Trento,,,38063,158
159,159,,Trento,Trento,,,38063,159
160,160,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38121,160
161,161,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38121,161
162,162,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38121,162
163,163,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,163
164,164,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,164
165,165,,Trento,Trento,Via Lidorno,2,38123,165
166,166,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,166
167,167,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,167
168,168,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,168
169,169,,Trento,Trento,,,39068,169
170,170,,Trento,Trento,,,39068,170
